"^80....";"alicevoce";0;"Italia numeri verdi"
"^8....";"alicevoce";0,06;"Italia addebito ripartito"
"^19....";"alicevoce";0,06;"Italia addebito ripartito"
"^1..";"alicevoce";0;"Italia numeri verdi"
"^4....";"alicevoce";2;"Italia servizi a pagamento"
"^3[2-9].......";"alicevoice";0,18;"Italia cellulari"
"^0[1-9]....";"alicevoce";0;"Italia fissi"
"^0[1-9]....";"eutelia";0,02;"Italy"
"^00+1-7672";"eutelia";0,16;"Dominica Mobile"
"^001";"eutelia";0,01;"United States (USA)"
"^001";"eutelia";0,15;"United States (USA) Mobile"
"^001";"eutelia";0,32;"United States (USA) Mobile"
"^001";"eutelia";0,18;"United States (USA) Mobile"
"^001";"eutelia";0,14;"United States (USA) Mobile"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001204";"eutelia";0,01;"Canada"
"^001242";"eutelia";0,04;"Bahamas"
"^00124235";"eutelia";0,04;"Bahamas Mobile"
"^00124245";"eutelia";0,04;"Bahamas Mobile"
"^00124255";"eutelia";0,04;"Bahamas Mobile"
"^001264";"eutelia";0,14;"Anguilla"
"^001264772";"eutelia";0,13;"Anguilla Mobile"
"^001268";"eutelia";0,12;"Antigua and Barbuda"
"^0012687";"eutelia";0,12;"Antigua and Barbuda Mobile"
"^001473";"eutelia";0,15;"Grenada"
"^00147341";"eutelia";0,17;"Grenada Mobile"
"^001787";"eutelia";0,02;"Puerto Rico Mobile"
"^001809";"eutelia";0,05;"Dominican Republic"
"^001809";"eutelia";0,16;"Dominican Republic Mobile"
"^001809";"eutelia";0,1;"Dominican Republic Mobile"
"^001809";"eutelia";0,09;"Dominican Republic"
"^001829";"eutelia";0,16;"Dominican Republic Mobile"
"^001829";"eutelia";0,1;"Dominican Republic Mobile"
"^001867";"eutelia";0,18;"Canada Northwest Terr. Mobile"
"^001867";"eutelia";0,32;"Canada Northwest Terr. Mobile"
"^001867";"eutelia";0,14;"Canada Northwest Terr. Mobile"
"^001867";"eutelia";0,15;"Canada Northwest Terr. Mobile"
